# E(eV),Radius(Rp),Tau
1.992287787500658624e+03,4.275865111071519256e+08,2.619617888776520909e-01
1.992287787500658624e+03,8.551730222143038511e+08,2.619617888776520909e-01
1.992287787500658624e+03,1.282759533321455956e+09,2.619617888776520909e-01
1.992287787500658624e+03,1.710346044428607702e+09,2.619617888776520909e-01
1.992287787500658624e+03,2.137932555535759449e+09,2.619617888776520909e-01
1.992287787500658624e+03,2.565519066642911911e+09,2.619617888776520909e-01
1.992287787500658624e+03,2.993105577750063896e+09,2.619617888776520909e-01
1.992287787500658624e+03,3.420692088857215405e+09,2.619617888776520909e-01
1.992287787500658624e+03,3.848278599964367390e+09,2.619617888776520909e-01
1.992287787500658624e+03,4.275865111071518898e+09,2.619617888776520909e-01
1.992287787500658624e+03,4.703451622178671837e+09,2.619617888776520909e-01
1.992287787500658624e+03,5.131038133285823822e+09,2.619617888776520909e-01
1.992287787500658624e+03,5.558624644392974854e+09,2.619617888776520909e-01
1.992287787500658624e+03,5.986211155500127792e+09,2.619617888776520909e-01
1.992287787500658624e+03,6.413797666607279778e+09,2.619617888776520909e-01
1.992287787500658624e+03,6.841384177714430809e+09,2.619617888776520909e-01
1.992287787500658624e+03,7.268970688821582794e+09,2.619617888776520909e-01
1.992287787500658624e+03,7.696557199928734779e+09,2.619617888776520909e-01
1.992287787500658624e+03,8.124143711035886765e+09,2.619617888776520909e-01
1.992287787500658624e+03,8.551730222143037796e+09,2.619617888776520909e-01
1.992287787500658624e+03,8.630283369881910324e+09,2.619617888776520909e-01
1.992287787500658624e+03,9.057869880989061356e+09,4.091996719565684469e-03
1.992287787500658624e+03,9.485456392096214294e+09,1.012979049616570841e-03
1.992287787500658624e+03,9.913042903203365326e+09,3.034092021896501491e-04
1.992287787500658624e+03,1.034062941431051826e+10,1.446916817216374618e-04
1.992287787500658624e+03,1.076821592541766930e+10,8.708544042696641932e-05
1.992287787500658624e+03,1.119580243652482033e+10,5.677563515846052641e-05
